transfer_year,player_name,team_left,league_left,joined_team,joined_league,fee_in_pounds,transfermarkt_val,position,birth_year,transfer_age
2011,FabiÃ¡n MonzÃ³n,Boca Juniors,Torneo Final,OGC Nice,Ligue 1,1000000,1000000,Defender,1987,24
2011,Radosav Petrovic,Partizan,Friendlies,Blackburn,Premier League,2000000,2000000,Midfielder,1989,22
2011,Senad Lulic,BSC Young Boys,Super League,Lazio,Serie A,2000000,2000000,Midfield,1986,25
2011,Albin Ekdal,Juventus,Serie A,Cagliari Calcio,Serie A,2000000,2000000,Midfielder,1989,22
2011,Albin Ekdal,Bologna,Serie A,Juventus,Serie A,1000000,2000000,Midfielder,1989,22
2011,Juan AlbÃ­n,Getafe,LaLiga,Espanyol,LaLiga,2000000,2000000,Midfielder,1986,25
2011,Gabi,Real Zaragoza,LaLiga,AtlÃ©tico Madrid,LaLiga,2000000,2000000,Midfielder,1983,28
2011,KÃ©vin Anin,FC Sochaux,Ligue 1,OGC Nice,Ligue 1,2000000,2000000,Midfielder,1986,25
2011,Mathieu Coutadeur,Monaco,Ligue 2,FC Lorient,Ligue 1,1000000,2000000,Midfielder,1986,25
2011,Andreas Ivanschitz,Panathinaikos,Super League,1.FSV Mainz 05,Bundesliga,180000,2000000,Midfielder,1984,27
2011,Federico RodrÃ­guez,Genoa,Serie A,Bologna,Serie A,2000000,3000000,Forward,1991,20
2011,Marvin Ogunjimi,KRC Genk,Jupiler Pro League,RCD Mallorca,LaLiga,2000000,3000000,Forward,1988,23
2011,Youssouf Hadji,AS Nancy,Ligue 1,Stade Rennais,Ligue 1,1000000,3000000,Forward,1980,31
2011,Chris Eagles,Burnley,Championship,Bolton,Premier League,1000000,3000000,Defender,1986,25
2011,Pavel Pogrebnyak,VfB Stuttgart,Bundesliga,Fulham,Premier League,450000,3000000,Forward,1984,27
2011,Rasmus JÃ¶nsson,Helsingborg,Allsvenskan,VfL Wolfsburg,Bundesliga,3000000,2000000,Forward,1990,21
2011,David Goodwillie,Dundee United,Premiership,Blackburn,Premier League,3000000,2000000,Forward,1989,22
2011,Henri Bedimo,Lens,Ligue 2,Montpellier,Ligue 1,1000000,1000000,Defender,1984,27
2011,Bakary KonÃ©,Guingamp,Ligue 2,Olympique Lyon,Ligue 1,1000000,1000000,Defender,1988,23
2011,Wesley Lautoa,CS Sedan,Ligue 2,FC Lorient,Ligue 1,1000000,900000,Defender,1987,24
2011,Serge Aurier,Lens,Ligue 2,Toulouse,Ligue 1,1000000,1000000,Defender,1993,18
2011,Jonathan Brison,AS Nancy,Ligue 1,Saint-Ã‰tienne,Ligue 1,270000,1000000,Defender,1983,28
2011,Pedro LÃ³pez,Real Valladolid,LaLiga2,Levante,LaLiga,180000,1000000,Defender,1984,27
2011,Sergio AlmirÃ³n,Juventus,Serie A,Catania,Serie A,360000,2000000,Midfielder,1981,30
2011,Thulani Serero,Ajax Cape Town,ABSA Premiership,Ajax,Eredivisie,2000000,900000,Midfielder,1990,21
2011,RÃ´mulo,Cruzeiro,SÃ©rie A,Fiorentina,Serie A,2000000,900000,Midfielder,1987,24
2011,Wayne Routledge,Newcastle,Premier League,Swansea,Premier League,2000000,2000000,Forward,1985,26
2011,Steve Morison,Millwall,Championship,Norwich,Premier League,2000000,675000,Forward,1983,28
2011,KÃ©vin Monnet-Paquet,Lens,Ligue 2,FC Lorient,Ligue 1,2000000,2000000,Forward,1988,23
2011,Pablo Sarabia,RM Castilla,2Âª B - Grupo I,Getafe,LaLiga,2000000,-1,Defender,1992,19
2011,Baba Diawara,MarÃ­timo,Liga NOS,Sevilla FC,LaLiga,2000000,2000000,Forward,1988,23
2011,Itay Shechter,Hapoel Tel Aviv,Ligat ha'Al,1.FC K'lautern,Bundesliga,2000000,2000000,Forward,1987,24
2011,Takayuki Morimoto,Catania,Serie A,Novara,Serie A,2000000,2000000,Forward,1988,23
2011,Gonzalo Bergessio,Saint-Ã‰tienne,Ligue 1,Catania,Serie A,1000000,2000000,Forward,1984,27
2011,Alejandro Alfaro,Sevilla FC,LaLiga,RCD Mallorca,LaLiga,540000,2000000,Forward,1987,24
2011,Rodney Strasser,Genoa,Serie A,AC Milan,Serie A,2000000,2000000,Midfielder,1990,21
2011,Mato Jajalo,Siena,Serie A,1. FC KÃ¶ln,Bundesliga,1000000,2000000,Midfielder,1988,23
2011,TamÃ¡s Hajnal,Bor. Dortmund,Bundesliga,VfB Stuttgart,Bundesliga,900000,2000000,Midfielder,1981,30
2011,Zlatko Junuzovic,Austria Vienna,Bundesliga,Werder Bremen,Bundesliga,720000,2000000,Midfielder,1987,24
2011,Gianni Munari,US Palermo,Serie A,Fiorentina,Serie A,720000,2000000,Midfielder,1983,28
2011,Lucas Pratto,CDUC,Primera DivisiÃ³n,Genoa,Serie A,2000000,720000,Forward,1988,23
2011,Ignacio Lores,Defensor,Primera DivisiÃ³n,US Palermo,Serie A,2000000,360000,Defender,1991,20
2011,Lynel Kitambala,FC Lorient,Ligue 1,Saint-Ã‰tienne,Ligue 1,2000000,2000000,Forward,1989,22
2011,Javier CamuÃ±as,CA Osasuna,LaLiga,Villarreal,LaLiga,2000000,2000000,Defender,1980,31
2011,Eros Pisano,Varese,Serie B,US Palermo,Serie A,1000000,990000,Defender,1987,24
2011,Bradley Orr,QPR,Premier League,Blackburn,Premier League,1000000,1000000,Defender,1983,28
2011,Daniel Pudil,KRC Genk,Jupiler Pro League,Granada CF,LaLiga,900000,1000000,Defender,1985,26
2011,Didier Digard,Middlesbrough,Championship,OGC Nice,Ligue 1,720000,2000000,Midfielder,1986,25
2011,Per Ciljan Skjelbred,Rosenborg,Tippeligaen,Hamburger SV,Bundesliga,450000,2000000,Midfielder,1987,24
2011,Julian Baumgartlinger,Austria Vienna,Bundesliga,1.FSV Mainz 05,Bundesliga,990000,2000000,Midfielder,1988,23
2011,Anthony Ujah,LillestrÃ¸m SK,Tippeligaen,1.FSV Mainz 05,Bundesliga,2000000,2000000,Forward,1991,20
2011,Davide Lanzafame,US Palermo,Serie A,Catania,Serie A,900000,2000000,Forward,1987,24
2011,Innocent Emeghara,Grasshoppers,Super League,FC Lorient,Ligue 1,2000000,1000000,Forward,1989,22
2011,Benjamin Moukandjo,Monaco,Ligue 2,AS Nancy,Ligue 1,2000000,1000000,Forward,1989,22
2011,DJ Campbell,Blackpool,Championship,QPR,Premier League,1000000,2000000,Forward,1982,29
2011,Ivan Kardum,NK Osijek,1.HNL,Austria Vienna,Bundesliga,270000,405000,Goalkeeper,1987,24
2011,Matthias Zimmermann,Karlsruher SC,2. Bundesliga,Bor. M'gladbach,Bundesliga,900000,1000000,Defender,1992,19
2011,Elliott Bennett,Brighton,Championship,Norwich,Premier League,1000000,158000,Defender,1989,22
